article_id,use_case,confidence,notes
KB000016368,student_portal,1,
KB000016406,canvas,2,
KB000017614,canvas,1,
KB000017951,software,2,
KB000018051,canvas,2,
KB000018071,wifi,1,
KB000018079,wifi,1,
KB000018093,wifi,1,
KB000018097,wifi,1,
KB000018098,wifi,1,
KB000018114,wifi,1,
KB000018189,other,0,
KB000018199,software,1,
KB000018203,software,1,
KB000018204,software,1,
KB000018208,software,1,
KB000018424,canvas,1,
KB000018442,wifi,1,
KB000018534,student_portal,2,
KB000018537,student_portal,1,
KB000018539,student_portal,2,
KB000018541,student_portal,1,
KB000018543,student_portal,2,
KB000018766,account_access,1,
KB000018772,canvas,1,
KB000018773,canvas,2,
KB000018826,student_portal,1,
KB000018856,student_portal,1,
KB000019186,student_portal,3,
KB000019402,wifi,1,
KB000021992,mfa,1,
KB000022997,mfa,3,
KB0012455,account_access,2,
KB0012457,password,1,
KB0012505,wifi,1,
KB0012523,wifi,1,
KB0012541,software,1,
KB0012610,student_portal,0,
KB0012649,mfa,3,
KB0012760,wifi,1,
KB0013122,wifi,1,
KB0013126,wifi,1,
KB0013501,account_access,2,
KB0013701,wifi,1,
KB0013789,account_access,2,
KB0013799,vpn,1,
KB0013800,vpn,1,
KB0013814,wifi,1,
KB0013910,vpn,2,
KB0013912,vpn,2,
KB0013914,vpn,2,
KB0013916,vpn,2,
KB0013933,wifi,1,
KB0013939,wifi,1,
KB0013940,wifi,1,
KB0013941,password,1,
KB0013983,vpn,3,
KB0014172,canvas,1,
KB0014197,canvas,2,
KB0014239,canvas,1,
KB0014244,canvas,2,
KB0014253,password,1,
KB0014282,mfa,1,
KB0014305,mfa,1,
KB0014436,mfa,1,
KB0015124,student_portal,0,
KB0015126,student_portal,1,
KB0015130,password,1,
KB0015162,mfa,2,
KB0015163,mfa,3,
KB0015209,mfa,1,
